group,object_name,label,table_column,type,allowed_values,purpose,how_it_works,used_in,confidence,notes
Altro > Listini prezzi > Generale,Optiongroup1,,U_AZI_PA.AZI_CGMAGA,list,Controllo e gestione standard | Controllo e gestione con altezza/lunghezza/spessore | Controllo e gestione con impegnato e giacenze fiscali,,Caricato all'avvio in PUB_CGMAGA (APPLILIB.AQUADOCU); condiziona applilib_sergio.prg.MAGAFLAG: `CASE PUB_CGMAGA = 1`,APPLILIB.PRG (AQUADOCU);applilib_sergio.prg (MAGAFLAG);STARTUP.PRG,INCERTO,
Altro > Listini prezzi > Generale,Check3,Attiva gestione magazzino logistico,U_AZI_AN.AZI_MAGLOG,boolean,,Attiva gestione magazzino logistico,Caricato all'avvio in PUB_MAGLOG (APPLILIB.AQUADOCU); condiziona LOCAZIONILIB.MAGLOG_DEFA_CAR: `IF !PUB_MAGLOG`,APPLILIB.PRG (AQUADOCU);LOCAZIONILIB.PRG (MAGLOG_DEFA_CAR);PKLSTAM.PRG;I248_STARTUP.PRG,ALTA,
Altro > Listini prezzi > Generale,Check1,Attiva la gestione delle giacenze negative  >> (,U_AZI_PA.AZI_GIANEG,boolean,,Attiva la gestione delle giacenze negative  >> (,Caricato all'avvio in PUB_GIANEG (APPLILIB.AQUADOCU); condiziona AQMLIB.AQM_SCARICA_MAGAZZINO_DDT: `IF PUB_GIANEG && ELABORA ANCHE LE GIACENZE NEGATIVE`,APPLILIB.PRG (AQUADOCU);AQMLIB.PRG (AQM_SCARICA_MAGAZZINO_DDT);AQMLIB.PRG (AQM_SCARICA_GIACENZA);AQMLIB.PRG (AQM_RICARICA_IL_MAGAZZINO),ALTA,
Altro > Listini prezzi > Generale,Check4,Scarico magazzino nelle consegne a fornitore,U_AZI_PA.AZI_SAUFOR,boolean,,Scarico magazzino nelle consegne a fornitore,"Caricato all'avvio in PUB_SAUFOR (APPLILIB.AQUADOCU); condiziona AQMLIB.AQM_GESTIONE_DETTAGLI_DDT: `cNomeVarPubSau = ""PUB_SAUFOR""`",APPLILIB.PRG (AQUADOCU);AQMLIB.PRG (AQM_GESTIONE_DETTAGLI_DDT);STARTUP_MODIFICHE.PRG,ALTA,
Altro > Listini prezzi > Generale,Check7,Elimina automaticamente le giacenze negative a fronte di carico da fornitore e/o manuale ),U_AZI_PB.AZI_GNELAU,boolean,,Elimina automaticamente le giacenze negative a fronte di carico da fornitore e/o manuale ),Caricato all'avvio in PUB_GNELAU (APPLILIB.AQUADOCU); condiziona AQMLIB.AQM_GESTIONE_CARICHI_BFO: `IF PUB_GIANEG AND PUB_GNELAU`,APPLILIB.PRG (AQUADOCU);AQMLIB.PRG (AQM_GESTIONE_CARICHI_BFO);STARTUP_MODIFICHE.PRG,ALTA,
Altro > Listini prezzi > Generale,Check9,Durante il carico di magazzino o da fornitore non mostra le locazioni  di magazzino utilizzate in precedenza,U_AZI_PB.AZI_NOLOCCM,boolean,,Durante il carico di magazzino o da fornitore non mostra le locazioni  di magazzino utilizzate in precedenza,Caricato all'avvio in PUB_NOLOCCM (APPLILIB.AQUADOCU); condiziona LOCAZIONILIB.Init: `IF PUB_NOLOCCM`,APPLILIB.PRG (AQUADOCU);LOCAZIONILIB.PRG (Init);STARTUP_MODIFICHE.PRG;applilib_sergio.prg (AQUADOCU),ALTA,
Altro > Listini prezzi > Generale,Text17,Nr. giorni degli ordini clienti da considerare nel calcolo della consistenza rispetto alla data odierna e alla data consegna (zero = nessun limite),U_AZI_PB.AZI_GGCNSO,text,,Nr. giorni degli ordini clienti da considerare nel calcolo della consistenza rispetto alla data odierna e alla data consegna (zero = nessun limite),"Caricato all'avvio in PUB_GGCNSO (APPLILIB.AQUADOCU); condiziona AQMLIB.AQM_RILEVA_CONSISTENZA: `x_cons = IIF(PUB_GGCNSO > 0, ""ORD_DATCON <= '"" + RIBALTA2(DTOC(DATE() + PUB_GGCNSO)) + ""'"",""ORD_DATCON = ORD_DATCON"")`",APPLILIB.PRG (AQUADOCU);AQMLIB.PRG (AQM_RILEVA_CONSISTENZA),ALTA,
Altro > Listini prezzi > Magazzini di default,Text15,In fase di carico con documenti del fornitore,U_AZI_AN.AZI_CARORF,text,,In fase di carico con documenti del fornitore,"Caricato all'avvio in PUB_CARORF (APPLILIB.AQUADOCU); condiziona PRD_TAPPETO_LIB.CREA_CURSORE_DELLE_BOBINE_DISPONIBILI: `_D_CODMAG = IIF(EMPTY(ALLTRIM(PUB_CARORF)),'SEDE',ALLTRIM(PUB_CARORF))`",APPLILIB.PRG (AQUADOCU);PRD_TAPPETO_LIB.PRG (CREA_CURSORE_DELLE_BOBINE_DISPONIBILI);CARDIOLINE_FR_SYNC_SCHEDULED.PRG,ALTA,
Altro > Listini prezzi > Magazzini di default,Text4,Dopo l'analisi della M.P. con prodotto risultato CONFORME,U_AZI_AN.AZI_CQUMPC,text,,Dopo l'analisi della M.P. con prodotto risultato CONFORME,Caricato all'avvio in PUB_CQUMPC (APPLILIB.AQUADOCU); condiziona I248_STARTUP: `PUB_CQUMPC = SPACE(06)`,APPLILIB.PRG (AQUADOCU);I248_STARTUP.PRG;STARTUP.PRG,ALTA,
Altro > Listini prezzi > Magazzini di default,Text6,Dopo l'analisi della M.P. con prodotto risultato NON CONFORME,U_AZI_AN.AZI_CQUMPN,text,,Dopo l'analisi della M.P. con prodotto risultato NON CONFORME,Caricato all'avvio in PUB_CQUMPN (APPLILIB.AQUADOCU); condiziona I248_STARTUP: `PUB_CQUMPN = SPACE(06)`,APPLILIB.PRG (AQUADOCU);I248_STARTUP.PRG;STARTUP.PRG,ALTA,
Altro > Listini prezzi > Magazzini di default,Text23,Dopo l'analisi del S.L. con prodotto risultato CONFORME,U_AZI_AN.AZI_CQUSLC,text,,Dopo l'analisi del S.L. con prodotto risultato CONFORME,Caricato all'avvio in PUB_CQUSLC (APPLILIB.AQUADOCU); condiziona I248_STARTUP: `PUB_CQUSLC = SPACE(06)`,APPLILIB.PRG (AQUADOCU);I248_STARTUP.PRG;STARTUP.PRG,ALTA,
Altro > Listini prezzi > Magazzini di default,Text25,Dopo l'analisi della S.L. con prodotto risultato NON CONFORME,U_AZI_AN.AZI_CQUSLN,text,,Dopo l'analisi della S.L. con prodotto risultato NON CONFORME,Caricato all'avvio in PUB_CQUSLN (APPLILIB.AQUADOCU); condiziona I248_STARTUP: `PUB_CQUSLN = SPACE(06)`,APPLILIB.PRG (AQUADOCU);I248_STARTUP.PRG;STARTUP.PRG,ALTA,
Altro > Listini prezzi > Produz. film protettivi,Text15,Produzione macinatura,U_AZI_PA.AZI_MACINA,text,,Produzione macinatura,"Caricato all'avvio in PUB_MACINA (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_MACINA = """"`",APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG;adminlib.PRG (AQUADOCU),ALTA,
Altro > Listini prezzi > Produz. film protettivi,Text2,Produzione pressa,U_AZI_PA.AZI_PRESSA,text,,Produzione pressa,"Caricato all'avvio in PUB_PRESSA (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_PRESSA = """"`",APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG;adminlib.PRG (AQUADOCU),ALTA,
Altro > Listini prezzi > Produz. film protettivi,Text4,Produzione taglio,U_AZI_PA.AZI_TAGLIO,text,,Produzione taglio,"Caricato all'avvio in PUB_TAGLIO (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_TAGLIO = """"`",APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG;adminlib.PRG (AQUADOCU),ALTA,
Altro > Listini prezzi > Produz. film protettivi,Text6,Produzione levigatura 1 (Semilavorato - Prodotto finito),U_AZI_PA.AZI_LEVIGA1,text,,Produzione levigatura 1 (Semilavorato - Prodotto finito),"Caricato all'avvio in PUB_LEVIGA1 (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_LEVIGA1 = """"`",APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG;adminlib.PRG (AQUADOCU),ALTA,
Altro > Listini prezzi > Produz. film protettivi,Text8,Produzione nobilitato,U_AZI_PA.AZI_NOBILI,text,,Produzione nobilitato,"Caricato all'avvio in PUB_NOBILI (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_NOBILI = """"`",APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG;adminlib.PRG (AQUADOCU),ALTA,
Altro > Listini prezzi > Produz. film protettivi,Text10,Produzione prodotto finito,U_AZI_PA.AZI_PROFIN,text,,Produzione prodotto finito,"Caricato all'avvio in PUB_PROFIN (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_PROFIN = """"`",APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG;adminlib.PRG (AQUADOCU),ALTA,
Altro > Listini prezzi > Produz. film protettivi,Text12,Produzione levigatura 2 (Semilavorato - Prodotto finito),U_AZI_PA.AZI_LEVIGA2,text,,Produzione levigatura 2 (Semilavorato - Prodotto finito),"Caricato all'avvio in PUB_LEVIGA2 (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_LEVIGA2 = """"`",APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG;adminlib.PRG (AQUADOCU),ALTA,
Altro > Listini prezzi > Produz. film protettivi,Text14,Produzione levigatura 3 (Semilavorato - Prodotto finito),U_AZI_PA.AZI_LEVIGA3,text,,Produzione levigatura 3 (Semilavorato - Prodotto finito),"Caricato all'avvio in PUB_LEVIGA3 (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_LEVIGA3 = """"`",APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG;adminlib.PRG (AQUADOCU),ALTA,
Altro > Listini prezzi > Produz. film protettivi,Text17,Scarti da produzione,U_AZI_PA.AZI_SCAPPT,text,,Scarti da produzione,"Caricato all'avvio in PUB_SCAPPT (APPLILIB.AQUADOCU); condiziona AQMLIB.AQM_RILEVA_GIACENZE_DISPONIBILI: `_x_scrt = IIF(!_par_escl_mag_scarto,""1=1"",""mag_codmag not in ('"" + ALLTRIM(PUB_SPASCA) + ""','"" + ALLTRIM(PUB_SCAPPT) + ""`",APPLILIB.PRG (AQUADOCU);AQMLIB.PRG (AQM_RILEVA_GIACENZE_DISPONIBILI);AQMLIB.PRG (AQM_RILEVA_GIACENZE);AQMLIB.PRG (AQM_RILEVA_GIACENZE_NEGATIVE),ALTA,
Altro > Listini prezzi > Produz. film protettivi,Text19,Carte impregnate,U_AZI_PA.AZI_CAIPPT,text,,Carte impregnate,Caricato all'avvio in PUB_CAIPPT (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_CAIPPT = ''`,APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG;adminlib.PRG (AQUADOCU),ALTA,
Altro > Listini prezzi > Produz. pannelli truciolari,Text8,Produzione Spalmatura,U_AZI_AN.AZI_SPAPRO,text,,Produzione Spalmatura,Caricato all'avvio in PUB_SPAPRO (APPLILIB.AQUADOCU); condiziona applilib_sergio.prg.ribobinatura_generagiacenze: `IF mag_codmag = PUB_RIBSLR .OR. mag_codmag = PUB_RIBPRO .OR. mag_codmag = PUB_SPAPRO`,APPLILIB.PRG (AQUADOCU);applilib_sergio.prg (ribobinatura_generagiacenze);I248_STARTUP.PRG;MAGAZZINOLIB.PRG (MODIFICA_GIACENZA),ALTA,
Altro > Listini prezzi > Produz. pannelli truciolari,Text10,Reso della M.P. non spalmata,U_AZI_AN.AZI_SPAMPR,text,,Reso della M.P. non spalmata,Caricato all'avvio in PUB_SPAMPR (APPLILIB.AQUADOCU); condiziona I248_STARTUP: `PUB_SPAMPR = SPACE(06)`,APPLILIB.PRG (AQUADOCU);I248_STARTUP.PRG;STARTUP.PRG,ALTA,
Altro > Listini prezzi > Produz. pannelli truciolari,Text12,Film spalmato,U_AZI_AN.AZI_SPACQS,text,,Film spalmato,Caricato all'avvio in PUB_SPACQS (APPLILIB.AQUADOCU); condiziona I248_STARTUP: `PUB_SPACQS = SPACE(06)`,APPLILIB.PRG (AQUADOCU);I248_STARTUP.PRG;STARTUP.PRG,ALTA,
Altro > Listini prezzi > Produz. pannelli truciolari,Text14,Produzione Ribobinatura,U_AZI_AN.AZI_RIBPRO,text,,Produzione Ribobinatura,Caricato all'avvio in PUB_RIBPRO (APPLILIB.AQUADOCU); condiziona applilib_sergio.prg.taglio_generagiacenze: `IF mag_codmag = PUB_RIBSLR .OR. mag_codmag = PUB_RIBPRO`,APPLILIB.PRG (AQUADOCU);applilib_sergio.prg (taglio_generagiacenze);applilib_sergio.prg (ribobinatura_generagiacenze);I248_STARTUP.PRG,ALTA,
Altro > Listini prezzi > Produz. pannelli truciolari,Text17,Reso del S.L. non ribobinato,U_AZI_AN.AZI_RIBSLR,text,,Reso del S.L. non ribobinato,Caricato all'avvio in PUB_RIBSLR (APPLILIB.AQUADOCU); condiziona applilib_sergio.prg.taglio_generagiacenze: `IF mag_codmag = PUB_RIBSLR .OR. mag_codmag = PUB_RIBPRO`,APPLILIB.PRG (AQUADOCU);applilib_sergio.prg (taglio_generagiacenze);applilib_sergio.prg (ribobinatura_generagiacenze);I248_STARTUP.PRG,ALTA,
Altro > Listini prezzi > Produz. pannelli truciolari,Text19,Film ribobinato,U_AZI_AN.AZI_RIBSLO,text,,Film ribobinato,"Caricato all'avvio in PUB_RIBSLO (APPLILIB.AQUADOCU); condiziona I248_STARTUP: `PUB_RIBPRO,PUB_RIBSLR,PUB_RIBSLO,PUB_TAGPRO,PUB_TAGSLR,PUB_TAGPFO,PUB_ALTLUN,PUB_GGDTSP`",APPLILIB.PRG (AQUADOCU);I248_STARTUP.PRG,ALTA,
Altro > Listini prezzi > Produz. pannelli truciolari,Text27,Produzione Taglio,U_AZI_AN.AZI_TAGPRO,text,,Produzione Taglio,"Caricato all'avvio in PUB_TAGPRO (APPLILIB.AQUADOCU); condiziona I248_STARTUP: `PUB_RIBPRO,PUB_RIBSLR,PUB_RIBSLO,PUB_TAGPRO,PUB_TAGSLR,PUB_TAGPFO,PUB_ALTLUN,PUB_GGDTSP`",APPLILIB.PRG (AQUADOCU);I248_STARTUP.PRG,ALTA,
Altro > Listini prezzi > Produz. pannelli truciolari,Text29,Reso del S.L. non tagliato,U_AZI_AN.AZI_TAGSLR,text,,Reso del S.L. non tagliato,"Caricato all'avvio in PUB_TAGSLR (APPLILIB.AQUADOCU); condiziona I248_STARTUP: `PUB_RIBPRO,PUB_RIBSLR,PUB_RIBSLO,PUB_TAGPRO,PUB_TAGSLR,PUB_TAGPFO,PUB_ALTLUN,PUB_GGDTSP`",APPLILIB.PRG (AQUADOCU);I248_STARTUP.PRG,ALTA,
Altro > Listini prezzi > Produz. pannelli truciolari,Text31,Film tagliato,U_AZI_AN.AZI_TAGPFO,text,,Film tagliato,Caricato all'avvio in PUB_TAGPFO (APPLILIB.AQUADOCU); condiziona GENERA_FATTURE_SP.GEN_FAT_FAP_SP_X_CLIENTE: `M.ORD_MAGA = PUB_TAGPFO`,APPLILIB.PRG (AQUADOCU);GENERA_FATTURE_SP.PRG (GEN_FAT_FAP_SP_X_CLIENTE);GENERA_FATTURE_SP.PRG (GEN_FAT_FAP_SP_X_CLIENTE_TIPO_ELABORAZIONE),ALTA,
Altro > Listini prezzi > Produz. pannelli truciolari,Text2,Film spalmato DA SCARTARE,U_AZI_PA.AZI_SPASCA,text,,Film spalmato DA SCARTARE,"Caricato all'avvio in PUB_SPASCA (APPLILIB.AQUADOCU); condiziona AQMLIB.AQM_RILEVA_GIACENZE_DISPONIBILI: `_x_scrt = IIF(!_par_escl_mag_scarto,""1=1"",""mag_codmag not in ('"" + ALLTRIM(PUB_SPASCA) + ""','"" + ALLTRIM(PUB_SCAPPT) + ""`",APPLILIB.PRG (AQUADOCU);AQMLIB.PRG (AQM_RILEVA_GIACENZE_DISPONIBILI);AQMLIB.PRG (AQM_RILEVA_GIACENZE);AQMLIB.PRG (AQM_RILEVA_GIACENZE_NEGATIVE),ALTA,Controllo presente in piu tab del form.
Altro > Listini prezzi > Produz. dispositivi medicali,Text5,Magazzino di destinazione per il materiale prelevato,U_AZI_PA.AZI_MAGPDMPREL,text,,Magazzino di destinazione per il materiale prelevato,"Caricato all'avvio in PUB_MAGPDMPREL (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_MAGPDMPREL = """"`",APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG;adminlib.PRG (AQUADOCU),ALTA,
Altro > Listini prezzi > Produz. dispositivi medicali,Text7,Magazzino di destinazione per il materiale versato (prodotto finito),U_AZI_PA.AZI_MAGPDMVERS,text,,Magazzino di destinazione per il materiale versato (prodotto finito),"Caricato all'avvio in PUB_MAGPDMVERS (APPLILIB.AQUADOCU); condiziona CARDIOLINE_FR_SYNC_SCHEDULED: `PUB_MAGPDMVERS = """"`",APPLILIB.PRG (AQUADOCU);CARDIOLINE_FR_SYNC_SCHEDULED.PRG,ALTA,
Altro > Listini prezzi > Produz. macchine industriali,Text5,Magazzino di destinazione per il materiale prelevato,U_AZI_PB.AZI_MAGPMIPREL,text,,Magazzino di destinazione per il materiale prelevato,"Caricato all'avvio in PUB_MAGPMIPREL (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_MAGPMIPREL = """"`",APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG;applilib_sergio.prg (AQUADOCU),ALTA,
Altro > Listini prezzi > Produz. macchine industriali,Text7,Magazzino di destinazione per il materiale versato (prodotto finito),U_AZI_PB.AZI_MAGPMIVERS,text,,Magazzino di destinazione per il materiale versato (prodotto finito),"Caricato all'avvio in PUB_MAGPMIVERS (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_MAGPMIVERS = """"`",APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG;applilib_sergio.prg (AQUADOCU),ALTA,
Altro > Listini prezzi > Produz. macchine industriali,Text1,Magazzino esterno fornitore,U_AZI_PB.AZI_MAGPMIEST,text,,Magazzino esterno fornitore,"Caricato all'avvio in PUB_MAGPMIEST (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_MAGPMIEST = """"`",APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG;schedulerlib.PRG (AQUADOCU),ALTA,
Altro > Listini prezzi > Produzione standard,Text2,Magazzino di SCARTO (dal quale non vengono considerate le giacenze delle componenti da scaricare),U_AZI_PA.AZI_SPASCA,text,,Magazzino di SCARTO (dal quale non vengono considerate le giacenze delle componenti da scaricare),"Caricato all'avvio in PUB_SPASCA (APPLILIB.AQUADOCU); condiziona AQMLIB.AQM_RILEVA_GIACENZE_DISPONIBILI: `_x_scrt = IIF(!_par_escl_mag_scarto,""1=1"",""mag_codmag not in ('"" + ALLTRIM(PUB_SPASCA) + ""','"" + ALLTRIM(PUB_SCAPPT) + ""`",APPLILIB.PRG (AQUADOCU);AQMLIB.PRG (AQM_RILEVA_GIACENZE_DISPONIBILI);AQMLIB.PRG (AQM_RILEVA_GIACENZE);AQMLIB.PRG (AQM_RILEVA_GIACENZE_NEGATIVE),ALTA,Controllo presente in piu tab del form.
Altro > Anagrafiche > Listini di vendita,Check2,Gestione prezzo / sconti in base al tipo listino (5 possibilità) di anagrafica clienti/articoli,U_AZI_AN.AZI_LIS01,boolean,,Gestione prezzo / sconti in base al tipo listino (5 possibilità) di anagrafica clienti/articoli,Caricato all'avvio in PUB_LIS01 (APPLILIB.AQUADOCU); condiziona applilib_sergio.prg.OK_LIST: `IF PUB_LIS01`,APPLILIB.PRG (AQUADOCU);applilib_sergio.prg (OK_LIST);AGGIORNA_PREZZI_STD_CON_PRZ_MED_POND.PRG;I248_STARTUP.PRG,ALTA,
Altro > Anagrafiche > Listini di vendita,Check1,Gestione prezzo da listino collegato all'agente/articolo tramite list. di vend. zona (u_lis_ve),U_AZI_AN.AZI_LIS02,boolean,,Gestione prezzo da listino collegato all'agente/articolo tramite list. di vend. zona (u_lis_ve),Caricato all'avvio in PUB_LIS02 (APPLILIB.AQUADOCU); condiziona applilib_sergio.prg.OK_LIST: `IF PUB_LIS02`,APPLILIB.PRG (AQUADOCU);applilib_sergio.prg (OK_LIST);AGGIORNA_PREZZI_STD_CON_PRZ_MED_POND.PRG;I248_STARTUP.PRG,ALTA,
Altro > Anagrafiche > Listini di vendita,Check3,Gestione dei 3 sconti caricati in anagrafica clienti  (u_cli_an),U_AZI_AN.AZI_LIS03,boolean,,Gestione dei 3 sconti caricati in anagrafica clienti  (u_cli_an),Caricato all'avvio in PUB_LIS03 (APPLILIB.AQUADOCU); condiziona applilib_sergio.prg.OK_LIST: `IF PUB_LIS03`,APPLILIB.PRG (AQUADOCU);applilib_sergio.prg (OK_LIST);AGGIORNA_PREZZI_STD_CON_PRZ_MED_POND.PRG;I248_STARTUP.PRG,ALTA,
Altro > Anagrafiche > Listini di vendita,Check4,Gestione listini  azienda/articolo con sconti per categoria cliente + categoria sconti articoli (u_lis_av / u_sco_ca),U_AZI_PB.AZI_LISCASCA,boolean,,Gestione listini  azienda/articolo con sconti per categoria cliente + categoria sconti articoli (u_lis_av / u_sco_ca),Caricato all'avvio in PUB_LISCASCA (APPLILIB.AQUADOCU); condiziona AGGIORNA_PREZZI_STD_CON_PRZ_MED_POND: `PUB_LISCASCA = .F.`,APPLILIB.PRG (AQUADOCU);AGGIORNA_PREZZI_STD_CON_PRZ_MED_POND.PRG;STARTUP_MODIFICHE.PRG,ALTA,
Altro > Anagrafiche > Listini di vendita,Check5,Gestione dei 3 sconti + prezzo + % provvigione da listino cliente/linea prodotto/articolo  ( u_lis_li),U_AZI_AN.AZI_LIS05,boolean,,Gestione dei 3 sconti + prezzo + % provvigione da listino cliente/linea prodotto/articolo  ( u_lis_li),Caricato all'avvio in PUB_LIS05 (APPLILIB.AQUADOCU); condiziona applilib_sergio.prg.OK_LIST: `IF PUB_LIS05`,APPLILIB.PRG (AQUADOCU);applilib_sergio.prg (OK_LIST);AGGIORNA_PREZZI_STD_CON_PRZ_MED_POND.PRG;I248_STARTUP.PRG,ALTA,
Altro > Anagrafiche > Listini di vendita,Check6,Aumento del prezzo tramite % maggiorazione di anagrafica clienti  (u_cli_an),U_AZI_AN.AZI_LIS06,boolean,,Aumento del prezzo tramite % maggiorazione di anagrafica clienti  (u_cli_an),Caricato all'avvio in PUB_LIS06 (APPLILIB.AQUADOCU); condiziona applilib_sergio.prg.OK_LIST: `IF PUB_LIS06`,APPLILIB.PRG (AQUADOCU);applilib_sergio.prg (OK_LIST);AGGIORNA_PREZZI_STD_CON_PRZ_MED_POND.PRG;I248_STARTUP.PRG,ALTA,
Altro > Anagrafiche > Listini di vendita,Check7,Conversione prezzo su base valuta del cliente,U_AZI_AN.AZI_LIS07,boolean,,Conversione prezzo su base valuta del cliente,Caricato all'avvio in PUB_LIS07 (APPLILIB.AQUADOCU); condiziona applilib_sergio.prg.OK_LIST: `IF PUB_LIS07`,APPLILIB.PRG (AQUADOCU);applilib_sergio.prg (OK_LIST);AGGIORNA_PREZZI_STD_CON_PRZ_MED_POND.PRG;I248_STARTUP.PRG,ALTA,
Altro > Anagrafiche > Listini di vendita,Check8,Gestione dei 3 sconti + prezzo caricati in listino cliente/articolo ma senza cliente  (u_lis_tt),U_AZI_AN.AZI_LIS08,boolean,,Gestione dei 3 sconti + prezzo caricati in listino cliente/articolo ma senza cliente  (u_lis_tt),Caricato all'avvio in PUB_LIS08 (APPLILIB.AQUADOCU); condiziona applilib_sergio.prg.OK_LIST: `IF PUB_LIS08`,APPLILIB.PRG (AQUADOCU);applilib_sergio.prg (OK_LIST);AGGIORNA_PREZZI_STD_CON_PRZ_MED_POND.PRG;I248_STARTUP.PRG,ALTA,
Altro > Anagrafiche > Listini di vendita,Check9,Gestione prezzo di vendita in base al listino prezzi per agente articolo  (u_lis_ag),U_AZI_AN.AZI_LIS09,boolean,,Gestione prezzo di vendita in base al listino prezzi per agente articolo  (u_lis_ag),Caricato all'avvio in PUB_LIS09 (APPLILIB.AQUADOCU); condiziona applilib_sergio.prg.OK_LIST: `IF PUB_LIS09`,APPLILIB.PRG (AQUADOCU);applilib_sergio.prg (OK_LIST);AGGIORNA_PREZZI_STD_CON_PRZ_MED_POND.PRG;I248_STARTUP.PRG,ALTA,
Altro > Anagrafiche > Listini di vendita,Check10,Abilita la gestione dei listini storici su più versioni,U_AZI_AN.AZI_LIS0A,boolean,,Abilita la gestione dei listini storici su più versioni,Caricato all'avvio in PUB_LIS0A (APPLILIB.AQUADOCU); condiziona applilib_sergio.prg.OK_LISCA: `IF !PUB_LIS0A && GESTIONE LISTINO PER SOLO CLIENTE ARTICOLO E NO VERSIONE`,APPLILIB.PRG (AQUADOCU);applilib_sergio.prg (OK_LISCA);applilib_sergio.prg (OK_LISVE);AGGIORNA_PREZZI_STD_CON_PRZ_MED_POND.PRG,ALTA,
Altro > Anagrafiche > Listini di vendita,Check11,Gestione campagna periodica per quantità ordinata (u_lis_tt),U_AZI_AN.AZI_LIS10,boolean,,Gestione campagna periodica per quantità ordinata (u_lis_tt),Caricato all'avvio in PUB_LIS10 (APPLILIB.AQUADOCU); condiziona AGGIORNA_PREZZI_STD_CON_PRZ_MED_POND: `PUB_LIS10 = .F.`,APPLILIB.PRG (AQUADOCU);AGGIORNA_PREZZI_STD_CON_PRZ_MED_POND.PRG;I248_STARTUP.PRG,ALTA,
Altro > Anagrafiche > Listini di vendita,Check12,Gestione dei 3 sconti + prezzo caricati in listino cliente/articolo/altezza   (u_lis_al),U_AZI_PA.AZI_LIS11,boolean,,Gestione dei 3 sconti + prezzo caricati in listino cliente/articolo/altezza   (u_lis_al),Caricato all'avvio in PUB_LIS11 (APPLILIB.AQUADOCU); condiziona applilib_sergio.prg.OK_LIST: `IF PUB_LIS11`,APPLILIB.PRG (AQUADOCU);applilib_sergio.prg (OK_LIST);AGGIORNA_PREZZI_STD_CON_PRZ_MED_POND.PRG;I248_STARTUP.PRG,ALTA,
Altro > Anagrafiche > Listini di vendita,Check13,Gestione sconti incondizionati in anagrafica clienti (u_cli_an),U_AZI_PA.AZI_LIS14,boolean,,Gestione sconti incondizionati in anagrafica clienti (u_cli_an),Caricato all'avvio in PUB_LIS14 (APPLILIB.AQUADOCU); condiziona applilib_sergio.prg.OK_LIST: `IF PUB_LIS14`,APPLILIB.PRG (AQUADOCU);applilib_sergio.prg (OK_LIST);AGGIORNA_PREZZI_STD_CON_PRZ_MED_POND.PRG,ALTA,
Altro > Anagrafiche > Listini di vendita,Check15,Gestione  listini per cliente tipo prodotto spessore  (u_lis_ts),U_AZI_PA.AZI_LIS12,boolean,,Gestione  listini per cliente tipo prodotto spessore  (u_lis_ts),Caricato all'avvio in PUB_LIS12 (APPLILIB.AQUADOCU); condiziona applilib_sergio.prg.OK_LIST: `IF PUB_LIS12`,APPLILIB.PRG (AQUADOCU);applilib_sergio.prg (OK_LIST);AGGIORNA_PREZZI_STD_CON_PRZ_MED_POND.PRG;STARTUP_MODIFICHE.PRG,ALTA,
Altro > Anagrafiche > Listini di vendita,Check16,Gestione sconti  per cliente categoria merceologica (u_sco_cm),U_AZI_PA.AZI_LIS13,boolean,,Gestione sconti  per cliente categoria merceologica (u_sco_cm),Caricato all'avvio in PUB_LIS13 (APPLILIB.AQUADOCU); condiziona applilib_sergio.prg.OK_LIST: `IF PUB_LIS13`,APPLILIB.PRG (AQUADOCU);applilib_sergio.prg (OK_LIST);AGGIORNA_PREZZI_STD_CON_PRZ_MED_POND.PRG;STARTUP_MODIFICHE.PRG,ALTA,
